Activity Type,Date,Time_Of_Day,Country,State,Environment,Title,Distance (Km),Calories,Duration,Avg HR
Running,7/30/2024,8:01:01 PM,USA,Texas,Outdoor,Denton County - Easy Run,2.94,256,0:24:11,128
Cardio,7/29/2024,7:13:31 PM,USA,Texas,Indoor,Cardio,0,156,0:31:58,90
Running,7/29/2024,7:01:51 PM,USA,Texas,Outdoor,Denton County - Benchmark Run,1.22,99,09:35.5,105
Cardio,7/28/2024,11:53:26 AM,USA,Texas,Indoor,Cardio,0,340,0:30:53,132
Road Cycling,7/28/2024,8:28:47 AM,USA,Texas,Outdoor,Denton County Road Cycling,40.47,"1,092",1:33:49,153
Running,7/27/2024,7:24:38 AM,USA,Texas,Outdoor,Denton County - Sloth Runners Race 5K/10K/13.1 DALLAS-FORT WORTH,5.01,468,0:38:55,138
Walking,7/27/2024,7:04:07 AM,USA,Texas,Outdoor,Denton County Walking,1.86,145,0:20:12,91
Running,7/24/2024,12:43:14 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.27,290,0:29:15,125
Running,7/22/2024,12:09:19 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.09,267,0:29:03,117
Cardio,7/20/2024,11:45:34 AM,USA,Texas,Indoor,Cardio,0,648,1:20:02,120
Running,7/19/2024,11:25:38 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.57,508,0:49:01,128
Running,7/18/2024,9:15:24 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.87,239,0:29:20,107
Running,7/15/2024,1:44:37 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.15,278,0:29:09,122
Running,7/12/2024,10:04:48 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.09,475,0:44:13,138
Cardio,7/11/2024,11:25:24 AM,USA,Texas,Indoor,Cardio,0,500,0:57:51,121
Running,7/10/2024,3:38:11 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.2,283,0:29:03,124
Running,7/9/2024,7:13:54 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.08,269,0:28:53,115
Walking,7/9/2024,10:01:57 AM,USA,Texas,Outdoor,Denton County Walking,1.53,123,0:23:02,79
Running,7/5/2024,9:27:32 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,6.3,550,1:00:21,123
Road Cycling,7/4/2024,12:50:25 PM,USA,Texas,Outdoor,Denton County Road Cycling,0,--,00:01.3,--
Road Cycling,7/4/2024,6:11:13 AM,USA,Texas,Outdoor,Collin County Road Cycling,61.34,"1,551",2:20:15,152
Running,7/3/2024,1:32:16 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.93,252,0:27:16,117
Running,7/1/2024,7:56:48 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.22,274,0:29:21,122
Running,6/28/2024,12:16:03 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,6.42,613,0:58:32,145
Road Cycling,6/25/2024,8:28:26 AM,USA,Texas,Outdoor,Denton County Road Cycling,37.05,"1,095",1:27:14,157
Running,6/22/2024,10:53:24 AM,USA,Texas,Outdoor,Denton County - Magic Half-Mile,5.45,489,0:52:31,117
Running,6/19/2024,8:00:24 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.05,257,0:30:15,110
Running,6/17/2024,7:46:11 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.24,293,0:30:25,122
Running,6/16/2024,10:03:21 AM,USA,Texas,Outdoor,Denton County Running,5.08,441,0:48:55,125
Running,6/16/2024,9:10:41 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.07,454,0:44:40,128
Cycling,6/13/2024,9:17:24 AM,USA,Texas,Indoor,Indoor Cycling,27.85,797,1:04:36,153
Running,6/12/2024,12:28:14 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.97,259,0:29:43,112
Running,6/10/2024,9:14:29 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,3.13,280,0:29:09,116
Walking,6/7/2024,12:27:59 PM,USA,Texas,Outdoor,San Antonio Walking,0.66,122,0:27:39,85
Running,6/6/2024,9:15:40 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.64,233,0:25:02,114
Running,6/3/2024,5:07:08 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.83,256,0:25:09,119
Running,5/31/2024,10:48:15 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,3.74,332,0:33:21,123
Running,5/29/2024,6:10:47 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.74,239,0:25:08,118
Running,5/27/2024,8:15:04 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.83,257,0:25:03,125
Running,5/25/2024,8:50:42 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,2.57,225,0:26:11,106
Running,5/23/2024,8:05:36 AM,USA,Texas,Outdoor,Denton County Running,2.42,212,0:24:01,115
Running,5/23/2024,7:39:57 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.24,191,0:22:16,103
Running,5/21/2024,8:45:26 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.19,194,0:22:14,117
Walking,5/21/2024,8:21:53 PM,USA,Texas,Outdoor,Denton County Walking,1.97,167,0:21:07,104
Cycling,5/19/2024,8:22:30 AM,USA,Texas,Indoor,Indoor Cycling,18.7,443,0:40:35,150
Cycling,5/19/2024,8:22:08 AM,Italy,Castiglione,Virtual,ROUVY - Castiglione | Italy,20.26,361,0:39:19,150
Running,5/17/2024,10:08:18 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,4.01,344,0:38:41,119
Walking,5/17/2024,9:45:32 AM,USA,Texas,Outdoor,Denton County Walking,2.16,178,0:22:16,103
Cycling,5/16/2024,3:43:56 PM,USA,Texas,Indoor,Indoor Cycling,14.05,284,0:35:47,133
Cycling,5/16/2024,3:43:28 PM,USA,Texas,Virtual,ROUVY - Fat burner 1,10.57,217,0:35:00,133
Running,5/15/2024,10:58:59 AM,USA,Texas,Outdoor,Denton County - Cadence Drills,5.48,506,1:04:00,124
Running,5/13/2024,12:43:20 PM,USA,Texas,Outdoor,Denton County - Cadence Drills,2.53,223,0:25:09,119
Walking,5/13/2024,12:27:51 PM,USA,Texas,Outdoor,Denton County Walking,1.44,121,0:14:54,100
Cycling,5/12/2024,9:01:50 AM,USA,Texas,Virtual,ROUVY - Challenge Shepparton | Australia 45 Km,13.42,201,0:30:12,126
Cycling,5/12/2024,9:01:41 AM,USA,Texas,Indoor,Indoor Cycling,12.09,262,0:30:25,126
Walking,5/11/2024,8:08:53 AM,USA,Texas,Outdoor,Denton County Walking,1.48,123,0:15:19,105
Running,5/11/2024,7:58:14 AM,USA,Texas,Outdoor,Denton County - Benchmark Run,1.2,112,09:18.0,128
Cycling,5/4/2024,6:01:14 AM,USA,Texas,Virtual,Mansfield Virtual Cycling,29.69,810,1:33:08,137
Running,4/29/2024,1:03:51 PM,USA,Texas,Outdoor,Denton County - Run Walk Run®,7.96,693,1:21:43,121
Cycling,4/27/2024,4:31:40 PM,Spain,Platja_De_Granda,Virtual,ROUVY - La Vuelta 2023 | Stage 7 - Platja de Granda,0.81,10,0:02:00,133
Cycling,4/27/2024,3:18:40 PM,USA,Texas,Indoor,Indoor Cycling,29.01,584,1:14:53,131
Cycling,4/27/2024,3:17:23 PM,Netherlands,Breda,Virtual,ROUVY - La Vuelta 2022 | Stage 3 - Breda | NL,31.45,428,1:13:49,131
Running,4/25/2024,12:01:29 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.93,265,0:27:31,115
Cycling,4/24/2024,8:30:08 PM,USA,Texas,Indoor,Indoor Cycling,22.43,437,1:03:30,121
Cycling,4/24/2024,8:16:50 PM,Australia,Shepparton,Virtual,ROUVY - Challenge Shepparton | Australia 45 Km,30.09,382,1:15:39,119
Running,4/23/2024,3:43:07 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.94,264,0:28:52,118
Running,4/21/2024,10:38:05 AM,USA,Texas,Outdoor,Denton County - Run,7.31,658,1:09:13,117
Cycling,4/20/2024,8:15:55 AM,USA,Texas,Indoor,Indoor Cycling,29.93,679,1:11:02,154
Cycling,4/20/2024,8:15:52 AM,Brazil,Rio_De_Janeiro,Virtual,ROUVY - L´Etape Rio de Janeiro | Sprint Route | Brazil,32.61,535,1:09:38,155
Running,4/18/2024,2:05:33 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.81,262,0:26:55,121
Cycling,4/16/2024,7:32:53 PM,USA,California,Virtual,ROUVY - Avenue of the Giants | California | USA,32,519,1:14:50,139
Cycling,4/16/2024,7:32:50 PM,USA,Texas,Indoor,Indoor Cycling,29.1,674,1:15:53,139
Running,4/16/2024,4:25:07 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.94,274,0:29:14,117
Running,4/14/2024,9:11:04 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,7.93,700,1:17:34,117
Road Cycling,4/13/2024,7:39:23 AM,USA,Texas,Outdoor,Collin County Road Cycling,43.68,"1,430",1:49:59,155
Cardio,4/12/2024,1:04:14 PM,USA,Texas,Indoor,Cardio,0,413,0:39:11,128
Running,4/9/2024,6:46:39 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3,275,0:29:07,114
Running,4/8/2024,8:33:46 AM,USA,Texas,Outdoor,Denton County - Magic Mile,4.44,406,0:44:52,116
Road Cycling,4/6/2024,7:02:59 AM,USA,Texas,Outdoor,Frisco Road Cycling,77.27,"2,350",3:06:06,155
Cycling,4/5/2024,11:45:04 AM,USA,Texas,Indoor,Indoor Cycling,20.26,447,0:50:54,145
Cycling,4/5/2024,11:44:53 AM,Netherlands,Amsterdam,Virtual,ROUVY - Challenge Almere - Amsterdam | Netherlands 54 km,22.16,342,0:47:44,146
Running,4/4/2024,12:16:01 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.82,260,0:26:13,120
Running,3/31/2024,7:49:28 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,7.23,702,1:04:07,133
Cycling,3/30/2024,3:46:27 PM,USA,Texas,Indoor,Indoor Cycling,10.95,243,0:27:16,155
Cycling,3/30/2024,3:03:55 PM,Netherlands,Amsterdam,Virtual,ROUVY - Challenge Almere - Amsterdam | Netherlands 54 km,31.35,492,1:09:09,151
Running,3/28/2024,11:53:45 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.82,269,0:26:01,127
Running,3/26/2024,3:07:24 PM,USA,Texas,Outdoor,Denton County - Drill Workout,2.93,273,0:28:02,120
Cycling,3/25/2024,7:53:05 PM,USA,California,Virtual,ROUVY - Lake Cahuilla to Oasis | California | USA,28.39,429,1:02:54,149
Running,3/24/2024,9:02:17 AM,USA,Texas,Outdoor,Denton County - Run,5.69,566,0:50:42,137
Running,3/21/2024,10:29:17 AM,USA,Texas,Outdoor,Denton County - Drill Workout,3.7,350,0:34:25,125
Cycling,3/18/2024,3:58:44 PM,USA,Texas,Virtual,ROUVY - Basic Endurance 1h,15.86,313,1:00:00,133
Cycling,3/5/2024,8:50:53 PM,Italy,Arenzano,Virtual,ROUVY - Ovada to Arenzano | Italy,13.57,367,0:40:46,149
Running,3/3/2024,8:25:17 AM,USA,Texas,Outdoor,Denton County - Magic Mile,3.97,393,0:35:02,137
Cycling,3/2/2024,9:27:28 AM,Czech_Republic,Letape,Virtual,ROUVY - L'Etape Czech Republic 2023 - Virtual | Stage 5,17.54,439,0:51:23,159
Running,3/1/2024,11:30:26 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.8,286,0:26:20,132
Running,3/1/2024,11:19:17 AM,USA,Texas,Outdoor,Denton County Running,1.07,102,09:43.7,127
Walking,3/1/2024,11:08:45 AM,USA,Texas,Outdoor,Denton County Walking,0.97,88,0:10:08,104
Running,2/25/2024,9:06:06 AM,USA,Texas,Outdoor,Denton County - Run Walk Run®,5.09,509,0:45:01,144
Walking,2/25/2024,8:54:16 AM,USA,Texas,Outdoor,Denton County Walking,1.12,101,0:11:26,109
Walking,2/23/2024,12:25:19 PM,USA,Texas,Outdoor,Denton County Walking,5.49,480,1:00:51,107
Running,2/22/2024,7:46:39 AM,USA,Texas,Outdoor,Denton County - Drill Workout,2.81,266,0:25:12,118
Running,2/21/2024,4:50:04 PM,USA,Texas,Outdoor,Denton County - Drill Workout,3.16,311,0:27:23,122
Running,2/18/2024,12:54:53 PM,USA,Texas,Outdoor,Denton County - Run,5.2,506,0:47:17,132
Treadmill,2/11/2024,1:52:16 PM,USA,Texas,Outdoor,Run Walk Run®,5.21,498,0:37:15,144
